ticker,date,folder,sentence_count,stock_return,label
AGN,2016-05-10,20160510_AGN,71,-0.010177777777676759,negative
AKAM,2015-04-28,20150428_AKAM,157,-0.012357039568818165,negative
AKAM,2015-07-28,20150728_AKAM,173,-0.0059742023082146895,negative
AKAM,2015-10-27,20151027_AKAM,167,-0.16730641958967574,negative
AKAM,2016-02-09,20160209_AKAM,115,0.21202931513773063,positive
AKAM,2016-04-26,20160426_AKAM,11,0.04158754272692755,positive
AKAM,2016-07-26,20160726_AKAM,65,-0.13048717507316243,negative
AKAM,2017-02-07,20170207_AKAM,101,-0.10643982002249729,negative
ALB,2016-05-11,20160511_ALB,119,0.016342933689684754,positive
ALB,2016-08-04,20160804_ALB,133,0.002557233317576119,neutral
ALGN,2017-01-31,20170131_ALGN,8,0.060639110044715915,positive
ALGN,2017-07-27,20170727_ALGN,4,0.10047055831107728,positive
ALK,2015-07-23,20150723_ALK,20,0.0042011112623824565,neutral
ALK,2015-10-22,20151022_ALK,176,0.041068842963711126,positive
ALLE,2016-10-27,20161027_ALLE,40,0.0119350732013537,positive
ALLE,2017-02-09,20170209_ALLE,86,0.0026488219713123127,neutral
ALLE,2017-04-27,20170427_ALLE,21,-0.024559662615774275,negative
ALXN,2015-10-29,20151029_ALXN,23,0.0002841716396704255,neutral
ALXN,2016-02-03,20160203_ALXN,95,0.0003425361375625907,neutral
ALXN,2017-02-16,20170216_ALXN,37,-0.01204080067489833,negative
ALXN,2017-10-26,20171026_ALXN,15,0.02022685809470938,positive
AMD,2015-07-16,20150716_AMD,41,-0.042780748663101636,negative
AMD,2016-10-20,20161020_AMD,77,-0.06321839080459776,negative
AMD,2017-05-01,20170501_AMD,12,-0.24229074889867835,negative
AMD,2017-10-24,20171024_AMD,7,-0.13473684210526315,negative
AME,2016-08-04,20160804_AME,56,0.006098889129852391,neutral
AME,2017-02-07,20170207_AME,25,0.012964396285535168,positive
AMG,2015-11-09,20151109_AMG,98,-0.004610108505951538,negative
AMG,2016-08-01,20160801_AMG,230,-0.02394629386115804,negative
AMGN,2015-04-21,20150421_AMGN,40,0.00379912145291518,neutral
AMGN,2017-10-25,20171025_AMGN,12,-0.005521126760842916,negative
AMT,2016-07-28,20160728_AMT,14,-0.00754393484775953,negative
AMT,2016-10-27,20161027_AMT,41,0.006325823223953744,neutral
AMT,2017-02-27,20170227_AMT,15,0.012793365096658238,positive
AMZN,2015-07-23,20150723_AMZN,24,0.09797171180886798,positive
AMZN,2015-10-22,20151022_AMZN,72,0.062279441754889975,positive
AMZN,2016-07-28,20160728_AMZN,149,0.00823799843212294,neutral
AMZN,2017-04-27,20170427_AMZN,167,0.007197456390600856,neutral
AMZN,2017-07-27,20170727_AMZN,123,-0.024818355640535274,negative
AMZN,2018-02-01,20180201_AMZN,126,0.028741007194244637,positive
AMZN,2018-04-26,20180426_AMZN,124,0.03600885398824744,positive
ANDV,2015-08-06,20150806_ANDV,15,0.007504690431807151,neutral
ANDV,2016-05-05,20160505_ANDV,11,0.0007706139227882273,neutral
ANDV,2016-08-04,20160804_ANDV,37,0.006601994071234942,neutral
ANSS,2015-02-26,20150226_ANSS,128,0.004439771001285143,neutral
ANSS,2015-08-05,20150805_ANSS,64,-0.011274196979366116,negative
ANSS,2016-02-25,20160225_ANSS,217,-0.0018997862740441295,neutral
ANSS,2016-05-05,20160505_ANSS,84,0.010148042024832788,positive
ANSS,2016-08-04,20160804_ANSS,62,0.021982758620689723,positive
ANSS,2017-02-23,20170223_ANSS,61,0.00336053768602971,neutral
AON,2015-10-30,20151030_AON,195,0.014896581287706477,positive
AOS,2015-07-23,20150723_AOS,76,-0.000414708320224572,neutral
AOS,2016-10-26,20161026_AOS,64,-0.008151575237669573,negative
APA,2017-11-02,20171102_APA,4,0.025671785027136206,positive
APC,2015-10-28,20151028_APC,93,0.0256410256410256,positive
APD,2015-04-30,20150430_APD,104,0.022101373492647767,positive
APD,2016-10-27,20161027_APD,59,0.0030734632681592546,neutral
APH,2016-10-19,20161019_APH,2,0.02658012671698368,positive
ARE,2016-05-03,20160503_ARE,80,0.018251681075465143,positive
ARE,2016-08-02,20160802_ARE,51,0.01178297405967721,positive
ATVI,2016-02-11,20160211_ATVI,76,-0.07863695937182104,negative
ATVI,2017-02-09,20170209_ATVI,20,0.18877422602590654,positive
ATVI,2017-05-04,20170504_ATVI,5,0.013747645952549915,positive
AWK,2016-02-25,20160225_AWK,162,-0.0476120499644323,negative
AWK,2016-08-04,20160804_AWK,105,-0.02083593262734387,negative
AWK,2017-02-22,20170222_AWK,225,0.00867592098227132,neutral
AXP,2015-07-22,20150722_AXP,81,-0.025066464108934296,negative
AXP,2015-10-21,20151021_AXP,91,-0.05241144948365824,negative
AXP,2016-01-21,20160121_AXP,24,-0.12100893997433389,negative
AXP,2016-04-20,20160420_AXP,53,0.009074131036356592,positive
AXP,2017-04-19,20170419_AXP,19,0.059166115155414555,positive
AXP,2017-07-19,20170719_AXP,15,-0.006749679972052441,negative
AYI,2015-07-01,20150701_AYI,73,0.0058541777539877675,neutral
LNT,2018-02-23,20180223_LNT,103,0.0027904616968814646,neutral
LNT,2018-05-03,20180503_LNT,88,0.0009252833692000523,neutral
MMM,2015-07-23,20150723_MMM,151,-0.0011371237457935863,neutral
MMM,2015-10-22,20151022_MMM,12,-0.0013461538465260028,neutral
MMM,2016-01-26,20160126_MMM,91,0.005318414145373234,neutral
MMM,2016-07-26,20160726_MMM,37,0.00343352470988936,neutral
MMM,2017-04-25,20170425_MMM,22,-0.0006662225186654502,neutral
MMM,2017-07-25,20170725_MMM,22,-0.0018055067953619565,neutral
MO,2016-04-28,20160428_MO,71,0.00836147290397278,neutral
MO,2017-05-02,20170502_MO,2,-0.008612169983365243,negative
MO,2017-07-27,20170727_MO,11,-0.09491617090302594,negative
MSFT,2015-04-23,20150423_MSFT,36,0.1045223811723755,positive
MSFT,2015-07-21,20150721_MSFT,11,-0.03680203045685902,negative
MSFT,2015-10-22,20151022_MSFT,25,0.10077035186378638,positive
MSFT,2016-10-20,20161020_MSFT,45,0.042096069869979685,positive
MSFT,2017-07-20,20170720_MSFT,9,-0.005793586634107519,negative
